taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.129-Dinomys	proto.129-Dinomys	proto.129-Dinomys	proto.129-Dinomys	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.130-Dinomys	proto.130-Dinomys	proto.130-dinomys	proto.130-dinomys	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.133-Dolichotis	proto.133-Dolichotis	proto.133-Dolichotis	proto.133-Dolichotis	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.139-MyoCoy	proto.139-MyoCoy	proto.139-MyoCoy	proto.139-MyoCoy	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.150-Gymnobelideus	proto.150-Gymnobelideus	proto.150-Gymnobelideus	proto.150-Gymnobelideus	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-digs-proto-epv/proto.151-Macropus_eugenii	proto.151-Macropus_eugenii	proto.151-Macropus_eugenii	proto.151-Macropus_eugenii	Parvovirinae	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-digs-proto-epv/proto.151-Phascolarctos_cinereus	proto.151-Phascolarctos_cinereus	proto.151-Phascolarctos_cinereus	proto.151-Phascolarctos_cinereus	Parvovirinae	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.152-Sarcophilus	proto.152-Sarcophilus	proto.152-Sarcophilus	proto.152-Sarcophilus	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.155-Gymnobelideus	proto.155-Gymnobelideus	proto.155-Gymnobelideus	proto.155-Gymnobelideus	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.156-Phascolarctos	proto.156-Phascolarctos	proto.156-Phascolarctos	proto.156-Phascolarctos	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.157-Gymnobelideus	proto.157-Gymnobelideus	proto.157-Gymnobelideus	proto.157-Gymnobelideus	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.3-Apodemus	proto.3-Apodemus	proto.3-apodemus	proto.3-apodemus	Parvovirinae	Protoparvovirus	Proto1	Proto1	Proto1	Proto1	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/fasta-refseqs-proto-epv/proto.4-MusSpi	proto.4-MusSpi	proto.4-MusSpi	proto.4-MusSpi	Parvovirinae	Protoparvovirus	Proto1	Proto1	Proto1	Proto1	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/U34255	U34255	HV	Hamster parvovirus	-	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
